Type,Classify,Stratify,Parameter,Method,PT inj_WT_B1_6OH_N1,PT inj_WT_B1_6OH_N2,PT inj_WT_B1_6OH_N3,PT inj_WT_B1_6OH_N4(1),PT inj_WT_B1_6OH_N5,PT inj_WT_B1_6OH_N6,PT inj_WT_B1_6OH_N7(2),PT inj_WT_B1_veh_N1,PT inj_WT_B1_veh_N2,PT inj_WT_B1_veh_N3(3),PT inj_WT_B1_veh_N4(1),PT inj_WT_B1_veh_N5,PT inj_WT_B1_veh_N6
bend,bend right,,angle change,std,0.6413551460889686,0.6936742282254693,0.7448632632439167,0.5928027417990545,0.5526987405454348,0.7301249417335619,0.5254562045270555,0.8461236337400931,0.676738964889208,0.6320742402575776,0.5329607418225966,0.6139379767220996,0.6598409639331841
bend,bend right,,angle change,max,3.8018220458199785,4.501565640102062,3.6083083514096908,3.7569405806253675,3.4008930505101747,4.936328271594592,2.7407859485905797,6.47775010282826,4.953397492634162,3.1506576343109876,3.566797672569411,4.641825701508531,4.924389479974854
bend,bend right,,dur,sum,15.450000000000003,9.730000000000002,17.520000000000003,11.61,12.129999999999999,18.740000000000002,11.340000000000002,15.600000000000001,19.25,13.34,19.53,20.189999999999998,15.3
bend,bend right,,dur,mean,0.08879310344827587,0.07371212121212123,0.06611320754716982,0.08176056338028169,0.07726114649681529,0.07556451612903227,0.07662162162162163,0.07839195979899498,0.06416666666666666,0.083375,0.07540540540540541,0.06389240506329114,0.06623376623376624
bend,bend right,,dur,std,0.05542513315896191,0.030301419688865537,0.028530725315371055,0.04480532034920903,0.031124470234769747,0.03805605112587597,0.03780641802142803,0.044283603182061135,0.02863048324411461,0.039075600004648305,0.03753202417783241,0.028335425232140006,0.03299692848837381
bend,bend right,,dur,max,0.34,0.21,0.18,0.26,0.25,0.27,0.25,0.23,0.21,0.22,0.29,0.21,0.29
bend,bend right,,angular velocity,sum,,,,,,,,,,,,,
bend,bend right,,angular velocity,mean,11.292281841431162,21.051940997527286,18.048389864973323,14.514424907694144,14.319952666811414,13.080459564215055,14.808406475949385,16.30438902744327,15.719911108085574,17.368336643179543,10.709994046927616,14.53885278602766,15.518599970628745
bend,bend right,,angular velocity,std,5.414846025273664,7.600085908003429,9.547314664545091,6.131851629162337,6.454067843784616,6.262375125614714,6.451620709065922,8.829739983021753,11.358999481197914,7.987422418582128,7.012238489156929,18.059716414188586,7.656506816442341
bend,bend right,,angular velocity,max,27.469678388679203,38.96746494288067,55.02194641131546,28.684522001165753,34.008930505101745,41.434699853393774,29.174864876455782,40.48593814267662,161.35267258786698,38.06432270125644,84.47434274336564,232.09128507542655,34.241175770551955
bend,bend right,,,count,174.0,132.0,265.0,142.0,157.0,248.0,148.0,199.0,300.0,160.0,259.0,316.0,231.0
recoil,,,angle change,sum,131.79878411588953,183.1424674221319,230.0837729296224,144.25086533975696,150.51283045712808,158.77970177705492,143.90387403628597,220.13531562238765,183.84814921595904,200.06122961943134,134.05863376476447,163.02833277903548,185.21533225952857
recoil,,,angle change,mean,0.8905323251073617,1.4769553824365476,1.2046270834011643,1.0928095859072497,1.0380195203939868,0.9285362677020755,1.142094238383222,1.3505234087263045,0.9146674090346221,1.3702823946536393,0.7325608402446145,0.7991584940148798,1.1090738458654406
recoil,,,angle change,std,0.5560144415033975,0.660352140315281,0.8056254498041614,0.5782805958780867,0.5457313056370406,0.6560723033654351,0.5045749114093926,0.7833237674316504,0.5328523531253658,0.6283741773873757,0.49163947342362163,0.5330461597153269,0.5835402208725852
recoil,,,angle change,max,2.9909279417901096,3.40277906897777,3.6083083514096908,2.7997428108642306,3.130613731281434,3.3408535298672817,2.7407859485905797,3.3160414222003207,4.175280726290308,3.072900016682765,2.4850083923361552,3.4678970511604224,3.0823227801996786
recoil,,,dur,sum,17.200000000000003,12.560000000000002,14.990000000000002,15.370000000000001,15.440000000000001,16.14,13.620000000000003,17.360000000000003,15.870000000000003,16.43,16.160000000000004,15.75,13.89
recoil,,,dur,mean,0.11621621621621624,0.10129032258064517,0.07848167539267016,0.11643939393939395,0.10648275862068966,0.0943859649122807,0.10809523809523812,0.1065030674846626,0.07895522388059703,0.11253424657534246,0.08830601092896177,0.07720588235294118,0.08317365269461079
recoil,,,dur,std,0.05946937021483287,0.03901152095695284,0.03850219992784242,0.053732907110076555,0.04748583172441425,0.047713022412544125,0.04989131043721799,0.05378895364052299,0.03548806820714009,0.053315089975386976,0.0472295576680151,0.040653973741702265,0.037272843248219785
recoil,,,dur,max,0.25,0.21,0.28,0.26,0.25,0.23,0.25,0.27,0.19,0.25,0.29,0.21,0.22
recoil,,,angular velocity,sum,,,,,,,,,,,,,
recoil,,,angular velocity,mean,7.944853680345965,14.975380946725283,14.710762955665261,9.428924127842606,9.736741434489497,9.850397993668988,11.184413568095511,12.90467408736777,12.182551621273364,13.054418723423383,8.314143498685093,11.249797793965932,13.372158311532173
recoil,,,angular velocity,std,4.062003599308053,6.583740304452782,8.119765807317414,4.013849981373845,4.162169752109408,6.759357209429855,5.100463298944911,6.487321902534957,7.294583155958762,7.090090384108902,4.730944388733425,12.08286229480884,6.98693045464417
recoil,,,angular velocity,max,29.8122733231163,38.96746494288067,33.16730823978823,24.328218206880294,23.444632802023992,69.84735481340277,24.96610263085136,32.15189372960665,59.64686751843297,37.77104461333354,30.295492105273382,128.37179473922052,29.764681259536452
recoil,,,,count,148.0,124.0,191.0,132.0,145.0,171.0,126.0,163.0,201.0,146.0,183.0,204.0,167.0
recoil,bend left,,angle change,sum,76.70570174423985,123.49211808248866,83.48528691932675,97.40597937006353,114.89259462203076,88.29312476196853,95.39120182288198,124.18375749828543,123.80185098656472,107.46042730649631,73.35099697432243,97.66038965655045,126.63407392333723
recoil,bend left,,angle change,mean,0.8919267644679052,1.4878568443673332,0.9707591502247297,1.1068861292052674,1.0942151868764833,0.9392885612975376,1.177669158307185,1.5331328086208078,0.9523219306658824,1.377697785980722,0.7121456016924508,0.8878217241504587,1.1946610747484645
recoil,bend left,,angle change,std,0.5034364496991736,0.46291312094374704,0.7993841272780974,0.5489500794596264,0.5467208153321411,0.6133272858374673,0.43932966547079333,0.6868233827908427,0.553373010639596,0.6314504567880447,0.4596879075194516,0.5222208671793288,0.5539917965042991
recoil,bend left,,angle change,max,2.4645201644578685,2.6543433432809995,3.2474595199595244,2.7997428108642306,3.130613731281434,3.265894889806994,2.126330405788986,2.988959152904626,4.175280726290308,3.072900016682765,2.0425900884673918,2.5674358947844103,3.0823227801996786
