,0,1,2,3,4,5,6,7,8,9,10,11,12
videoname,PT inj_WT_B1_6OH_N1,PT inj_WT_B1_6OH_N2,PT inj_WT_B1_6OH_N3,PT inj_WT_B1_6OH_N4(1),PT inj_WT_B1_6OH_N5,PT inj_WT_B1_6OH_N6,PT inj_WT_B1_6OH_N7(2),PT inj_WT_B1_veh_N1,PT inj_WT_B1_veh_N2,PT inj_WT_B1_veh_N3(3),PT inj_WT_B1_veh_N4(1),PT inj_WT_B1_veh_N5,PT inj_WT_B1_veh_N6
total_turn,140.45775771262066,170.3792276357291,206.8539759213765,133.71866407754214,143.19477197996386,182.13455175366508,146.9859484325496,196.85858856627388,179.6589030940397,167.119586447107,176.5652506188913,172.66653594121073,173.31257609492067
total_left_turn,64.34202015752335,66.4400379633623,117.19282783393646,58.83659620833414,52.99215757684303,88.66830272511537,55.92763584828365,88.2842537805696,71.5023812357415,84.17229902214041,88.67301061640786,79.5552660658737,67.02941447023746
total_right_turn,76.11573755509733,103.93918967236681,89.66114808744004,74.882067869208,90.20261440312083,93.46624902854971,91.05831258426596,108.57433478570428,108.15652185829819,82.94728742496658,87.89224000248343,93.11126987533703,106.28316162468322
turn_preference,-0.08382390256907869,-0.22009227433039968,0.13309717458348969,-0.1199942563856998,-0.2598590459118464,-0.026342867167364885,-0.23900704190171915,-0.10306932073885046,-0.20402073034683202,0.007330149764112456,0.004421994765038407,-0.07850973401168403,-0.2264910489412325
meandering,0.05396701443022887,0.034636356474465446,0.0453067102543301,0.04250061825428959,0.04562570348133188,0.059221803471315115,0.04153040125992813,0.057767754373350765,0.06664342030754303,0.054697570990246094,0.10463927948104673,0.07086879091674932,0.04618658091812951
angle_neutral,-0.04147193373902326,0.053983194986041545,0.02160089175916079,0.13817713718347813,0.30436439752302247,-0.05053679448745394,-0.05588803624390416,-0.07009919665542383,0.02489829992992625,-0.06084114874425333,-0.03432179881299563,-0.006013837525475263,0.028623663650196574
bend_count,359,272,559,294,307,496,287,372,591,327,521,628,436
bend_angle change_sum,334.3096332183593,399.323239948988,641.040185899177,324.4056061805922,332.82220333678913,493.1474780199427,323.9050019887243,505.6535756314712,581.4508710536584,441.21354883211023,410.76290971984076,537.9091866233703,483.51836059655477
bend_angle change_mean,0.9312246050650677,1.4681001468712793,1.1467624076908354,1.1034204291856877,1.0841114115204857,0.9942489476208523,1.128588857103569,1.3592838054609442,0.9838424214105894,1.3492769077434563,0.7884124946638018,0.856543290801545,1.1089870655884284
bend_angle change_std,0.6058571363278573,0.6998174974612956,0.745256862024185,0.595503027094056,0.543208573984791,0.7167086660098303,0.5211820012455635,0.8395894452032958,0.6507396218591522,0.6561489871184599,0.5157447082852787,0.5784048513591334,0.6225741500736476
bend_angle change_max,3.8018220458199785,4.501565640102062,4.606064999766637,3.822636063589445,3.4008930505101747,4.936328271594592,2.7407859485905797,6.47775010282826,4.953397492634162,3.1506576343109876,3.566797672569411,4.641825701508531,4.924389479974854
bend_dur_sum,32.45,21.98,36.24,26.16,26.92,38.53000000000001,24.360000000000003,31.150000000000002,40.19,27.79,40.03,41.88,30.310000000000006
bend_dur_mean,0.0903899721448468,0.08080882352941177,0.06483005366726298,0.08897959183673469,0.08768729641693812,0.07768145161290324,0.08487804878048781,0.08373655913978495,0.06800338409475465,0.08498470948012232,0.07683301343570058,0.06668789808917198,0.06951834862385323
bend_dur_std,0.05247360080881431,0.03536953360023135,0.028616825110200396,0.04794386213642351,0.04015728799692603,0.0391638276045133,0.04123829487274659,0.04473661111564437,0.030577603225841084,0.045293010726794786,0.03707255028913176,0.0314637795359706,0.03280029622837249
bend_dur_max,0.34,0.21,0.28,0.26,0.25,0.27,0.25,0.27,0.21,0.25,0.29,0.21,0.29
bend_angular velocity_sum,,,,,,,,,,,,,
bend_angular velocity_mean,10.81567926117704,18.848075091457144,17.22800142488293,13.09151536373146,12.750732796409764,12.960856416484207,13.968206164009283,16.687048407198567,14.822911326510686,16.893656631706385,10.505842048265784,14.126018332185085,15.937037415903601
bend_angular velocity_std,5.43428401424076,8.64621224015566,9.32985578244285,6.185234303800123,5.969197790645302,7.847532709411134,6.433141070897588,8.889163138661415,9.403218708345817,8.561995343213859,7.022383289221171,16.759545938499226,7.965569709921095
bend_angular velocity_max,29.8122733231163,45.28338724815215,55.02194641131546,33.54563801217799,34.008930505101745,90.51548887899419,29.896545775054445,61.96379651532218,161.35267258786698,44.69939924126545,84.47434274336564,232.09128507542655,40.59133540143761
bend_amp change_sum,,,,,,,,,,,,,
bend_amp change_mean,4.645984366303991,8.608189223944821,4.754563357784572,6.2315428756560145,4.274847865605875,4.861222510457181,7.153528827641631,6.139123070805854,3.8823775685834114,6.776548755369869,3.2196648045215137,3.549328280543971,5.590778064308944
bend_amp change_std,3.4661423664293407,3.923851496061094,3.796256327066517,3.986528396293305,3.0628757470869528,4.038274391469338,3.7375048344484982,3.8086352786609274,2.9113424665669503,3.367784763015374,2.729107997097615,3.0506988595212294,3.6038481518865026
