current_speed,step_length,speed_change,velocity_change,accel,step_dur,coast_dur,coast_percent,current step per second,turn_angle,turn_laterality,turn_dur,turn_angular_velocity,current bend per second,bend_angle_reached,bend_laterality,bend_pos,bend_angle_traveled,bend_angular_velocity,bend_dur_total,bend_wave_frequency,bend count,max angle pos,video
0.2726454911700659,0.08542990623777659,0.1120603821125792,0.11206038211257915,2.777158377070959,0.32,0.26,81.25,3.4090909090909087,0.0,neutral,0.0,0.0,6.8181818181818175,-0.41550233999250263,right,0.03546676142548899,0.9846586224371571,10.450597185878546,0.14,14.285714285714285,2,1,PT inj_WT_B1_6OH_N1
0.2391101704939087,0.018834807490206076,0.04623885670541595,0.08701553191286956,1.4089640381596498,0.1,0.05,50.0,4.0,0.35430026476281307,left,0.05,10.498704466250253,7.000000000000001,0.618353829504866,left,0.05997564879474517,0.5963225168045028,13.74947749851585,0.06,16.666666666666668,1,0,PT inj_WT_B1_6OH_N1
0.23938353692395212,0.058360979390668,0.06994235275991628,0.10530992217712973,1.7065331846175746,0.3,0.23,76.66666666666667,4.0,0.4427867474116205,right,0.07,8.585715485791745,7.000000000000001,0.6263348257840674,right,0.052677508629370436,0.8741238109886379,11.516161721986169,0.11,9.090909090909092,1,0,PT inj_WT_B1_6OH_N1
0.22359981148567115,0.10705566032771459,0.13472794862803397,0.20297776752894756,2.4053040963665384,0.46,0.33,71.73913043478261,4.0,0.7285733449236231,right,0.1,12.486600878877274,6.0,-1.3653093590864134,right,0.06594841095121001,2.808139679934703,22.315747942338927,0.31,6.451612903225807,2,1,PT inj_WT_B1_6OH_N1
0.28824036988220914,0.1451984647583631,0.20185997014468834,0.280983252011124,3.031151581013796,0.48,0.29,60.416666666666664,3.0,0.7529679931544799,right,0.08,17.91722502678965,5.0,-1.309443970479873,right,0.07730216234043116,2.7458851013581853,26.829351706687632,0.29000000000000004,6.896551724137931,2,0,PT inj_WT_B1_6OH_N1
0.36611900439113676,0.13092140099388877,0.1994376265805515,0.20552398248905468,2.853813794114585,0.36,0.23,63.88888888888889,3.0,0.1417382559030287,right,0.04,4.363981722513177,7.000000000000001,0.4888314703672094,right,0.04279902898765697,1.4220087738178426,15.73518170555806,0.16,18.75,3,1,PT inj_WT_B1_6OH_N1
0.4158203437007812,0.1555537397564138,0.24322927656330268,0.2939787677003803,4.305024091771516,0.36,0.21,58.333333333333336,3.0,0.3909225623799206,right,0.05,13.035313196614284,7.000000000000001,-0.8912391782473467,right,0.07051199510962208,1.5252299070997188,21.29437095949005,0.14,14.285714285714285,2,0,PT inj_WT_B1_6OH_N1
0.4037149712831301,0.19414243154669988,0.16990812896914967,0.27090477918752315,3.2362980946143107,0.5,0.41,82.0,3.0,0.45980032728065323,left,0.05,14.941482090470393,5.0,0.9323634485783483,left,0.0715774806863446,1.8552385837469605,21.561456653158885,0.22,9.090909090909092,2,1,PT inj_WT_B1_6OH_N1
0.3602752369386942,0.1733866277561674,0.16041515325540232,0.18479321385949052,3.6375347680332024,0.53,0.47,88.67924528301886,2.0,0.28357639478975827,left,0.05,8.276330310102198,3.0,0.5021226719717222,left,0.03183942747572004,1.0632514535899986,15.706309418618467,0.11,18.181818181818183,2,0,PT inj_WT_B1_6OH_N1
0.30508739979533833,0.14341043877789247,0.15697170356938256,0.15697170356938256,3.0177278952375963,0.49,0.38,77.55102040816327,2.0,0.0,neutral,0.0,0.0,4.0,-0.6073522269809929,right,0.05725160257148439,1.1918699576388552,13.975027123186523,0.16,12.5,2,1,PT inj_WT_B1_6OH_N1
0.2391130021396796,0.08253472906378917,0.04873293813140407,0.1277249067559271,1.2668880958579232,0.41,0.35,85.36585365853658,3.0,0.47943568816665527,right,0.07,11.157894577227312,6.0,0.09980236278351269,right,0.10156661059582918,0.9307377012656859,17.800238694627648,0.09,11.11111111111111,1,0,PT inj_WT_B1_6OH_N1
0.1550916357107252,0.013205603754253824,0.05833803875231779,0.12686298699554693,1.8534819639554645,0.11,0.06,54.54545454545454,4.0,0.8090211608242002,left,0.08,18.596740281685477,7.000000000000001,1.4226519851071122,left,0.12805900133455095,1.8493127113377745,21.712786792850146,0.2,10.0,2,0,PT inj_WT_B1_6OH_N1
0.14396069541052559,0.027149443477066243,0.06313480279380168,0.07821195260215175,1.3635421911816512,0.28,0.21,74.99999999999999,3.0,0.8310237869636121,left,0.1,16.76756218849671,7.000000000000001,2.2444698384188255,left,0.1255295337478025,2.595212927992252,23.69707627483837,0.26,7.692307692307692,2,1,PT inj_WT_B1_6OH_N1
0.13865302424993975,0.04079343999277007,0.05281216595518253,0.08984106294267946,2.2954980820239466,0.32,0.27,84.375,4.0,1.0278778580344696,left,0.09,18.557363408410232,8.0,2.0894519854581795,left,0.10595804092010945,2.9081558196712995,26.93198108961392,0.27,7.4074074074074066,2,0,PT inj_WT_B1_6OH_N1
0.17042817764917262,0.09939863888999138,0.10604320278026999,0.15171636619215595,1.4415981923900132,0.5,0.33,66.0,3.0,0.6007064303712609,left,0.07,12.165830663542854,4.0,1.4048543987297208,left,0.08922000184750078,2.088610595114197,16.832922515847827,0.32,6.25,2,1,PT inj_WT_B1_6OH_N1
0.28169730901184126,0.10224205183260371,0.23585177308518632,0.2590456926924872,4.30918819716011,0.35,0.21,60.0,3.0,0.45140869680965134,left,0.05,13.44076784088856,6.0,0.8319464703325531,left,0.07486377754959002,1.6543799401277177,21.871553635569636,0.16,12.5,2,0,PT inj_WT_B1_6OH_N1
